Filename,dnp,obaa,an,bd,rsva,saigv,uav,df,bf,osf,pitfc,da,ua,rogu,mlk,uaf,dupv,dbz,auv,fgbo,asom
ipc/chromium/src/base/thread_local_posix.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
intl/icu/source/tools/genrb/genrb.c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
gfx/ots/src/hdmx.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
toolkit/system/gnome/nsGSettingsService.cpp,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
media/libvorbis/lib/vorbis_lsp.c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dom/base/nsXMLHttpRequest.cpp,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
image/decoders/nsICODecoder.cpp,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
layout/base/nsCSSFrameConstructor.cpp,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
media/libopus/silk/NLSF2A.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
dom/plugins/ipc/PluginModuleChild.cpp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layout/xul/nsMenuFrame.cpp,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
netwerk/streamconv/converters/nsBinHexDecoder.cpp,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
security/nss/lib/freebl/aeskeywrap.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
obj-x86_64-unknown-linux-gnu/dom/bindings/TestCodeGenBinding.cpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
toolkit/components/typeaheadfind/nsTypeAheadFind.cpp,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsprpub/pr/src/pthreads/ptio.c,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
media/libopus/src/opus_decoder.c,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
nsprpub/lib/ds/plvrsion.c,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
build/unix/elfhack/elf.cpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gfx/ycbcr/yuv_convert.cpp,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
toolkit/system/dbus/nsDBusService.cpp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
js/src/jit/shared/CodeGenerator-x86-shared.cpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layout/style/nsCSSRuleProcessor.cpp,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
media/mtransport/third_party/nICEr/src/ice/ice_media_stream.c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
security/nss/lib/util/derenc.c,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
extensions/spellcheck/src/mozInlineSpellChecker.cpp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
security/nss/lib/pkcs12/p12d.c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
gfx/qcms/iccread.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
intl/icu/source/i18n/ucol_cnt.cpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpcom/glue/pldhash.cpp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
memory/jemalloc/src/src/ctl.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
memory/replace/logalloc/replay/Replay.cpp,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gfx/thebes/gfxPlatform.cpp,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
media/webrtc/signaling/src/mediapipeline/MediaPipeline.cpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ipc/chromium/src/base/condition_variable_posix.cc,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
toolkit/mozapps/update/updater/bspatch.cpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
security/nss/lib/libpkix/pkix_pl_nss/module/pkix_pl_aiamgr.c,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsprpub/pr/src/md/unix/uxproces.c,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
security/nss/lib/libpkix/pkix_pl_nss/module/pkix_pl_ldapcertstore.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
gfx/cairo/cairo/src/cairo-gstate.c,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
editor/libeditor/nsHTMLAnonymousUtils.cpp,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
gfx/skia/trunk/src/core/SkAdvancedTypefaceMetrics.cpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gfx/cairo/cairo/src/cairo-analysis-surface.c,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
security/nss/lib/softoken/sftkhmac.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obj-x86_64-unknown-linux-gnu/conftest.C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toolkit/mozapps/update/tests/TestAUSHelper.cpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
netwerk/protocol/websocket/WebSocketChannel.cpp,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
security/nss/cmd/modutil/install.c,0,0,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0
xpcom/typelib/xpt/tests/PrimitiveTest.cpp,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
media/libopus/silk/dec_API.c,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
toolkit/identity/IdentityCryptoService.cpp,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
js/src/shell/js.cpp,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
editor/libeditor/JoinElementTxn.cpp,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
xpcom/sample/program/nsTestSample.cpp,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
gfx/cairo/cairo/src/cairo-ps-surface.c,0,0,0,0,0,0,1,0,0,0,0,23,0,1,0,0,0,0,0,0,0
